"location","source","target"
"pretix/presale/templates/pretixpresale/event/checkout_addons.html:39","You need to choose %(min_count)s options from this category.","Du musst genau %(min_count)s Optionen aus dieser Kategorie auswählen."
"pretix/presale/templates/pretixpresale/event/checkout_addons.html:46","You can choose between %(min_count)s and %(max_count)s options from this category.","Du kannst zwischen %(min_count)s und %(max_count)s Optionen aus dieser Kategorie auswählen."
"pretix/presale/templates/pretixpresale/event/checkout_addons.html:56","There are no add-ons available for this product.","Es sind keine zustzlichen Auswahlen verfügbar."
"pretix/presale/templates/pretixpresale/event/checkout_addons.html:68 pretix/presale/templates/pretixpresale/event/checkout_confirm.html:178 pretix/presale/templates/pretixpresale/event/checkout_payment.html:64 pretix/presale/templates/pretixpresale/event/checkout_questions.html:117","Go back","Zurück"
"pretix/presale/templates/pretixpresale/event/checkout_base.html:4 pretix/presale/templates/pretixpresale/event/checkout_base.html:40","Checkout","Anmeldung fortsetzen"
"pretix/presale/templates/pretixpresale/event/checkout_base.html:11 pretix/presale/templates/pretixpresale/event/checkout_confirm.html:32 pretix/presale/templates/pretixpresale/event/index.html:24","Your cart","Deine Auswahl"
"pretix/presale/templates/pretixpresale/event/checkout_base.html:18 pretix/presale/templates/pretixpresale/event/checkout_confirm.html:27 pretix/presale/templates/pretixpresale/event/index.html:31","Cart expired","Auswahl abgelaufen"
"pretix/presale/templates/pretixpresale/event/checkout_base.html:30 pretix/presale/templates/pretixpresale/event/checkout_confirm.html:41 pretix/presale/templates/pretixpresale/event/index.html:43","The items in your cart are reserved for you for %(minutes)s minutes.","Deine Auswahl ist noch %(minutes)s Minuten für dich reserviert."
"pretix/presale/templates/pretixpresale/event/checkout_base.html:34 pretix/presale/templates/pretixpresale/event/checkout_confirm.html:45 pretix/presale/templates/pretixpresale/event/index.html:47","The items in your cart are no longer reserved for you.","Deine Auswahl ist nicht mehr für dich reserviert."
"pretix/presale/templates/pretixpresale/event/checkout_confirm.html:6 pretix/presale/templates/pretixpresale/event/checkout_confirm.html:8","Review order","Anmeldung prüfen"
"pretix/presale/templates/pretixpresale/event/checkout_confirm.html:10","Please review the details below and confirm your order.","Bitte überprüfe die untenstehenden Details und bestätige deine Anmeldung."
"pretix/presale/templates/pretixpresale/event/checkout_confirm.html:12","Please hang tight, we're finalizing your order!","Einen Moment, deine Anmeldung ist fast fertig!"
"pretix/presale/templates/pretixpresale/event/checkout_confirm.html:19 pretix/presale/templates/pretixpresale/event/checkout_confirm.html:60 pretix/presale/templates/pretixpresale/event/checkout_confirm.html:82 pretix/presale/templates/pretixpresale/event/checkout_confirm.html:120","Modify","Bearbeiten"
"pretix/presale/templates/pretixpresale/event/checkout_confirm.html:124 pretix/presale/templates/pretixpresale/event/checkout_questions.html:18 pretix/presale/templates/pretixpresale/event/order.html:223 pretix/presale/templates/pretixpresale/event/order_modify.html:33","Contact information","Kontaktinformationen"
"pretix/presale/templates/pretixpresale/event/checkout_confirm.html:148","Confirmations","Bestätigungen"
"pretix/presale/templates/pretixpresale/event/checkout_confirm.html:166","Your order requires approval by the event organizer before it can be confirmed and forms a valid contract.","Deine Anmeldung erfordert eine Bestätigung."
"pretix/presale/templates/pretixpresale/event/checkout_confirm.html:168","We will sent you an email as soon as the event organizer approved or rejected your order. If your order was approved, we will send you a link that you can use to pay.","Nach Abschluss des Anmeldezeitraums informieren wir Dich per E-Mail ob Du dabei bist."
"pretix/presale/templates/pretixpresale/event/checkout_confirm.html:184","Place binding order","Jetzt anmelden"
"pretix/presale/templates/pretixpresale/event/checkout_confirm.html:186","Submit registration","Anmeldung abschicken"
"pretix/presale/templates/pretixpresale/event/checkout_payment.html:7","Please select how you want to pay.","Bitte wähle die gewünschte Zahlungsmethode aus."
"pretix/presale/templates/pretixpresale/event/checkout_payment.html:41","This payment provider does not provide support for testmode.","Diese Zahlungsmethode unterstützt den Testmodus nicht."
"pretix/presale/templates/pretixpresale/event/checkout_payment.html:43","If you continue, actual money might be transferred.","Wenn du fortfährst, wird möglicherweise echtes Geld transferiert."
"pretix/presale/templates/pretixpresale/event/checkout_payment.html:54","There are no payment providers enabled.","Es sind keine Zahlungsmethoden aktiviert."
"pretix/presale/templates/pretixpresale/event/checkout_payment.html:56","Please go to the payment settings and activate one or more payment providers.","Bitte gehe in die Zahlungs-Einstellungen und aktiviere eine oder mehrere Zahlungsmethoden."
"pretix/presale/templates/pretixpresale/event/checkout_questions.html:6","Before we continue, we need you to answer some questions.","Bitte antworte auf die untenstehenden Fragen, bevor wir mit der Anmeldung fortfahren."
"pretix/presale/templates/pretixpresale/event/checkout_questions.html:8","You need to fill all fields that are marked with <span>*</span> to continue.","Alle mit einem <span>*</span> markierten Felder müssen ausgefüllt werden."
"pretix/presale/templates/pretixpresale/event/checkout_questions.html:65","Copy answers from above","Antworten von oben kopieren"
"pretix/presale/templates/pretixpresale/event/checkout_questions.html:78","Selected add-ons","Zustzlich ausgewählt"
"pretix/presale/templates/pretixpresale/event/cookies.html:7","Please continue in a new tab","Bitte in neuem Tab fortfahren"
"pretix/presale/templates/pretixpresale/event/cookies.html:9","Your browser is configured to block cookies from third-party website elements. Unfortunately, this means we cannot show you this ticket shop embedded into the website. Please try to open the ticket shop in a new tab or change your browser settings.","Wir können dir die Anmeldung nicht in die Website eingebettet darstellen, da dein Browser so eingestellt ist, dass er Cookies von eingebundenen Website-Elementen blockiert. Bitte probiere, die Anmeldung in einem neuen Tab zu öffnen oder ändere deine Browsereinstellungen."
"pretix/presale/templates/pretixpresale/event/cookies.html:16","We apologize for the inconvenience!","Wir entschuldigen uns für die Unannehmlichkeiten!"
"pretix/presale/templates/pretixpresale/event/cookies.html:23","Continue in new tab","Weiter in neuem Tab"
"pretix/presale/templates/pretixpresale/event/cookies.html:30","Cookies not supported","Cookies nicht unterstützt"
"pretix/presale/templates/pretixpresale/event/cookies.html:32","Your browser does not accept cookies from us. However, we need to set a cookie to remember who you are and what is in your cart. Please change your browser settings accordingly.","Dein Browser hat Cookies von uns blockiert. Wir müssen allerdings ein Cookie setzen um zu erkennen, wer du bist und was Du ausgewählt hast. Bitte ändere deine Browsereinstellungen entsprechend."
"pretix/presale/templates/pretixpresale/event/fragment_availability.html:16 pretix/presale/templates/pretixpresale/event/fragment_subevent_list.html:25 pretix/presale/templates/pretixpresale/fragment_calendar.html:47 pretix/presale/templates/pretixpresale/organizers/index.html:70 pretix/presale/views/widget.py:273","Reserved","Reserviert"
"pretix/presale/templates/pretixpresale/event/fragment_availability.html:18","All remaining products are reserved but might become available again.","Alle verbleibenden Plätze sind reserviert, werden aber evtl. wieder verfügbar."
"pretix/presale/templates/pretixpresale/event/fragment_cart.html:85","Okay, we're removing that…","Alles klar, wir nehmen das raus…"
"pretix/presale/templates/pretixpresale/event/fragment_cart.html:89","Remove one","Eins entfernen"
"pretix/presale/templates/pretixpresale/event/fragment_cart.html:97","We're trying to reserve another one for you!","Okay, wir versuchen dir mehr zu reservieren!"
"pretix/presale/templates/pretixpresale/event/fragment_cart.html:98 pretix/presale/templates/pretixpresale/event/index.html:188 pretix/presale/templates/pretixpresale/event/voucher.html:26","Once the items are in your cart, you will have %(time)s minutes to complete your purchase.","Sobald die Anmeldung gestartet ist, hast du %(time)s Minuten um deine Bestellung abzuschließen."
"pretix/presale/templates/pretixpresale/event/fragment_cart.html:113","Add one more","Eins mehr hinzufügen"
"pretix/presale/templates/pretixpresale/event/fragment_checkoutflow.html:22","Order confirmed","Anmeldebestätigung"
"pretix/presale/templates/pretixpresale/event/fragment_order_status.html:7","Payment pending","Zahlung ausstehend"
"pretix/presale/templates/pretixpresale/event/fragment_subevent_calendar.html:30 pretix/presale/templates/pretixpresale/organizers/calendar.html:52","Go","Los!"
"pretix/presale/templates/pretixpresale/event/fragment_subevent_list.html:21 pretix/presale/templates/pretixpresale/event/fragment_subevent_list.html:30 pretix/presale/templates/pretixpresale/fragment_calendar.html:43 pretix/presale/templates/pretixpresale/fragment_calendar.html:52 pretix/presale/templates/pretixpresale/organizers/index.html:66 pretix/presale/templates/pretixpresale/organizers/index.html:75 pretix/presale/views/widget.py:267 pretix/presale/views/widget.py:279","Tickets on sale","Anmeldung läuft"
"pretix/presale/templates/pretixpresale/event/fragment_subevent_list.html:35 pretix/presale/templates/pretixpresale/organizers/index.html:80","Sale starts %(date)s","Anmeldung startet %(date)s"
"pretix/presale/templates/pretixpresale/event/fragment_subevent_list.html:40 pretix/presale/templates/pretixpresale/organizers/index.html:85","Not yet on sale","Noch nicht verfügbar"
"pretix/presale/templates/pretixpresale/event/index.html:9","Presale","Anmeldezeitraum"
"pretix/presale/templates/pretixpresale/event/index.html:55 pretix/presale/templates/pretixpresale/event/index.html:73","Empty cart","Anmeldung zurücksetzen"
"pretix/presale/templates/pretixpresale/event/index.html:65","Proceed with checkout","Zur Kasse"
"pretix/presale/templates/pretixpresale/event/index.html:86","View other date","Zu anderem Termin wechseln"
"pretix/presale/templates/pretixpresale/event/index.html:89","Choose date to buy a ticket","Wähle einen Termin aus"
"pretix/presale/templates/pretixpresale/event/index.html:116 pretix/presale/views/widget.py:453","The presale period for this event is over.","Der Anmeldezeitraum für diese Veranstaltung ist vorüber."
"pretix/presale/templates/pretixpresale/event/index.html:121 pretix/presale/views/widget.py:455","The presale for this event will start on %(date)s at %(time)s.","Die Anmeldung für diese Veranstaltung wird am %(date)s um %(time)s Uhr beginnen."
"pretix/presale/templates/pretixpresale/event/index.html:125 pretix/presale/views/widget.py:460","The presale for this event has not yet started.","Die Anmeldung für diese Veranstaltung hat noch nicht begonnen."
"pretix/presale/templates/pretixpresale/event/index.html:147","Begin: %(time)s","Beginn: %(time)s"
"pretix/presale/templates/pretixpresale/event/index.html:152","End: %(time)s","Ende: %(time)s"
"pretix/presale/templates/pretixpresale/event/index.html:160","Admission: %(time)s","Einlass: %(time)s"
"pretix/presale/templates/pretixpresale/event/index.html:164","Admission: %(datetime)s","Einlass: %(datetime)s"
"pretix/presale/templates/pretixpresale/event/index.html:175","Add to Calendar","Zum Kalender hinzufügen"
"pretix/presale/templates/pretixpresale/event/index.html:187 pretix/presale/templates/pretixpresale/event/voucher.html:25","We're now trying to reserve this for you!","Wir versuchen nun, die Anmeldung für dich durchzuführen!"
"pretix/presale/templates/pretixpresale/event/index.html:228 pretix/presale/templates/pretixpresale/event/index.html:379","minimum amount to order: %(num)s","Minimale Menge: %(num)s"
"pretix/presale/templates/pretixpresale/event/index.html:240 pretix/presale/templates/pretixpresale/event/index.html:294 pretix/presale/templates/pretixpresale/event/index.html:404 pretix/presale/templates/pretixpresale/event/voucher.html:71 pretix/presale/templates/pretixpresale/event/voucher.html:115 pretix/presale/templates/pretixpresale/event/voucher.html:217","FREE",""
"pretix/presale/templates/pretixpresale/event/index.html:248","Show variants","Varianten zeigen"
"pretix/presale/templates/pretixpresale/event/index.html:288 pretix/presale/templates/pretixpresale/event/index.html:399 pretix/presale/templates/pretixpresale/event/voucher.html:110 pretix/presale/templates/pretixpresale/event/voucher.html:212","Modify price for %(item)s","Preis von %(item)s verändern"
"pretix/presale/templates/pretixpresale/event/index.html:305 pretix/presale/templates/pretixpresale/event/index.html:415 pretix/presale/templates/pretixpresale/event/voucher.html:126 pretix/presale/templates/pretixpresale/event/voucher.html:228","plus taxes","zzgl. Steuern"
"pretix/presale/templates/pretixpresale/event/index.html:307 pretix/presale/templates/pretixpresale/event/index.html:417 pretix/presale/templates/pretixpresale/event/voucher.html:128 pretix/presale/templates/pretixpresale/event/voucher.html:230","incl. taxes","inkl. Steuern"
"pretix/presale/templates/pretixpresale/event/index.html:310 pretix/presale/templates/pretixpresale/event/index.html:420 pretix/presale/templates/pretixpresale/event/voucher.html:131 pretix/presale/templates/pretixpresale/event/voucher.html:233","<strong>plus</strong> %(rate)s%% %(name)s","<strong>zzgl.</strong> %(rate)s%% %(name)s"
"pretix/presale/templates/pretixpresale/event/index.html:314 pretix/presale/templates/pretixpresale/event/index.html:424 pretix/presale/templates/pretixpresale/event/voucher.html:135 pretix/presale/templates/pretixpresale/event/voucher.html:237","incl. %(rate)s%% %(name)s","inkl. %(rate)s%% %(name)s"
